estacion,comid,fecha,fecha_texto,nivel_prom_ajustado_m,nivel_min_ajustado_m,nivel_max_ajustado_m,nivel_p25_ajustado_m,nivel_p75_ajustado_m,nivel_prom_m,nivel_min_m,nivel_max_m,nivel_p25_m,nivel_p75_m,nivel_eta_eqm_ajustado_m,nivel_eta_scal_ajustado_m,nivel_gfs_ajustado_m,nivel_wrf_ajustado_m,nivel_eta_eqm_m,nivel_eta_scal_m,nivel_gfs_m,nivel_wrf_m,ajuste_continuidad,offset_ajuste_m,fecha_obs_ajuste,fecha_obs_ajuste_texto,nivel_obs_ajuste_m,dias_desde_obs_ajuste,advertencia_ajuste
Angamos,9043370,2026-08-16,16/08/2026,2.8,2.798,2.806,2.798,2.8,7.915,7.913,7.921,7.913,7.915,2.798,2.798,2.798,2.806,7.913,7.913,7.913,7.921,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Angamos,9043370,2026-08-17,17/08/2026,2.774,2.768,2.792,2.768,2.774,7.888,7.882,7.907,7.882,7.888,2.768,2.768,2.768,2.792,7.882,7.882,7.882,7.907,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Angamos,9043370,2026-08-18,18/08/2026,2.758,2.755,2.767,2.755,2.758,7.873,7.87,7.881,7.87,7.873,2.755,2.755,2.755,2.767,7.87,7.87,7.87,7.881,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Angamos,9043370,2026-08-19,19/08/2026,2.727,2.718,2.747,2.719,2.729,7.841,7.833,7.862,7.833,7.843,2.719,2.718,2.722,2.747,7.834,7.833,7.837,7.862,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Angamos,9043370,2026-08-20,20/08/2026,2.697,2.693,2.707,2.693,2.697,7.811,7.808,7.822,7.808,7.812,2.693,2.693,2.694,2.707,7.808,7.808,7.808,7.822,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Angamos,9043370,2026-08-21,21/08/2026,2.677,2.668,2.691,2.668,2.685,7.792,7.782,7.806,7.782,7.8,2.668,2.668,2.683,2.691,7.782,7.782,7.798,7.806,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Angamos,9043370,2026-08-22,22/08/2026,2.669,2.661,2.689,2.662,2.671,7.784,7.776,7.804,7.777,7.786,2.661,2.662,2.665,2.689,7.776,7.777,7.78,7.804,Sí,-5.115,2026-08-14,14/08/2026,2.8,2,Offset alto: -5.11 m. Revisar estación.
Bellavista,9036028,2026-08-16,16/08/2026,4.83,4.824,4.849,4.824,4.83,5.897,5.89,5.916,5.89,5.897,4.824,4.824,4.824,4.849,5.89,5.89,5.89,5.916,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Bellavista,9036028,2026-08-17,17/08/2026,4.786,4.773,4.824,4.773,4.786,5.853,5.84,5.89,5.84,5.853,4.773,4.773,4.773,4.824,5.84,5.84,5.84,5.89,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Bellavista,9036028,2026-08-18,18/08/2026,4.728,4.713,4.773,4.713,4.728,5.795,5.78,5.84,5.78,5.795,4.713,4.713,4.713,4.773,5.78,5.78,5.78,5.84,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Bellavista,9036028,2026-08-19,19/08/2026,4.675,4.662,4.713,4.662,4.675,5.742,5.729,5.78,5.729,5.742,4.662,4.662,4.662,4.713,5.729,5.729,5.729,5.78,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Bellavista,9036028,2026-08-20,20/08/2026,4.634,4.625,4.662,4.625,4.634,5.701,5.692,5.729,5.692,5.701,4.625,4.625,4.625,4.662,5.692,5.692,5.692,5.729,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Bellavista,9036028,2026-08-21,21/08/2026,4.601,4.592,4.625,4.593,4.601,5.668,5.659,5.692,5.659,5.668,4.592,4.593,4.593,4.625,5.659,5.659,5.66,5.692,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Bellavista,9036028,2026-08-22,22/08/2026,4.575,4.565,4.602,4.565,4.577,5.642,5.631,5.669,5.631,5.643,4.565,4.565,4.568,4.602,5.631,5.631,5.635,5.669,Sí,-1.067,2026-08-14,14/08/2026,4.83,2,Ajuste aplicado
Borja,9040208,2026-08-16,16/08/2026,5.02,5.008,5.057,5.008,5.02,4.731,4.718,4.768,4.718,4.731,5.008,5.008,5.008,5.057,4.718,4.718,4.718,4.768,Sí,0.289,2026-08-14,14/08/2026,5.02,2,Ajuste aplicado
Borja,9040208,2026-08-17,17/08/2026,4.958,4.943,5.0,4.943,4.958,4.668,4.654,4.711,4.654,4.668,4.943,4.943,4.943,5.0,4.654,4.654,4.654,4.711,Sí,0.289,2026-08-14,14/08/2026,5.02,2,Ajuste aplicado
Borja,9040208,2026-08-18,18/08/2026,4.852,4.836,4.894,4.836,4.854,4.562,4.546,4.604,4.547,4.564,4.836,4.836,4.841,4.894,4.547,4.546,4.551,4.604,Sí,0.289,2026-08-14,14/08/2026,5.02,2,Ajuste aplicado
